Category ID,Category Name,Category Label,osm_class,osm_type
52e928d0bcbc57f1066b7e96,Ukrainian Restaurant,Dining and Drinking > Restaurant > Ukrainian Restaurant,amenity,restaurant
52e928d0bcbc57f1066b7e9a,Varenyky Restaurant,Dining and Drinking > Restaurant > Ukrainian Restaurant > Varenyky Restaurant,amenity,restaurant
52e928d0bcbc57f1066b7e9b,West-Ukrainian Restaurant,Dining and Drinking > Restaurant > Ukrainian Restaurant > West-Ukrainian Restaurant,amenity,restaurant
4bf58dd8d48988d1d3941735,Vegan and Vegetarian Restaurant,Dining and Drinking > Restaurant > Vegan and Vegetarian Restaurant,amenity,restaurant
4bf58dd8d48988d14c941735,Wings Joint,Dining and Drinking > Restaurant > Wings Joint,amenity,restaurant
52f2ab2ebcbc57f1066b8b41,Smoothie Shop,Dining and Drinking > Smoothie Shop,amenity,cafe
4bf58dd8d48988d1c7941735,Snack Place,Dining and Drinking > Snack Place,amenity,restaurant
4bf58dd8d48988d1de941735,Vineyard,Dining and Drinking > Vineyard,landuse,vineyard
4bf58dd8d48988d14b941735,Winery,Dining and Drinking > Winery,craft,winery
4d4b7105d754a06373d81259,Event,Event,nf_fsq,nf_fsq
5267e4d9e4b0ec79466e48c6,Conference,Event > Conference,amenity,conference
5267e4d9e4b0ec79466e48c9,Convention,Event > Convention,amenity,convention_centre
63be6904847c3692a84b9bb7,Entertainment Event,Event > Entertainment Event,nf_fsq,nf_fsq
5267e4d9e4b0ec79466e48c7,Festival,Event > Entertainment Event > Festival,tourism,festival
62d587aeda6648532de2b88c,Beer Festival,Event > Entertainment Event > Festival > Beer Festival,nf_fsq,nf_fsq
5267e4d9e4b0ec79466e48d1,Music Festival,Event > Entertainment Event > Music Festival,tourism,music_festival
52741d85e4b0d5d1e3c6a6d9,Parade,Event > Entertainment Event > Parade,nf_fsq,nf_fsq
5bae9231bedf3950379f89c5,Sporting Event,Event > Entertainment Event > Sporting Event,nf_fsq,nf_fsq
58daa1558bbb0b01f18ec1fa,Line,Event > Line,power,line
63be6904847c3692a84b9bb8,Marketplace,Event > Marketplace,amenity,marketplace
52f2ab2ebcbc57f1066b8b3b,Christmas Market,Event > Marketplace > Christmas Market,amenity,marketplace
52f2ab2ebcbc57f1066b8b54,Stoop Sale,Event > Marketplace > Stoop Sale,nf_fsq,nf_fsq
5267e4d8e4b0ec79466e48c5,Street Fair,Event > Marketplace > Street Fair,landuse,fairground
53e0feef498e5aac066fd8a9,Street Food Gathering,Event > Marketplace > Street Food Gathering,amenity,marketplace
5bae9231bedf3950379f89c3,Trade Fair,Event > Marketplace > Trade Fair,landuse,fairground
5267e4d9e4b0ec79466e48c8,Other Event,Event > Other Event,nf_fsq,nf_fsq
63be6904847c3692a84b9bb9,Health and Medicine,Health and Medicine,nf_fsq,nf_fsq
63be6904847c3692a84b9bba,AIDS Resource,Health and Medicine > AIDS Resource,nf_fsq,nf_fsq
52e81612bcbc57f1066b7a3b,Acupuncture Clinic,Health and Medicine > Acupuncture Clinic,amenity,clinic
52e81612bcbc57f1066b7a3c,Alternative Medicine Clinic,Health and Medicine > Alternative Medicine Clinic,amenity,clinic
63be6904847c3692a84b9bbb,Assisted Living Service,Health and Medicine > Assisted Living Service,amenity,social_facility
5f2c43a65b4c177b9a6dcc62,Blood Bank,Health and Medicine > Blood Bank,healthcare,blood_bank
52e81612bcbc57f1066b7a3a,Chiropractor,Health and Medicine > Chiropractor,amenity,clinic
4bf58dd8d48988d178941735,Dentist,Health and Medicine > Dentist,amenity,dentist
63be6904847c3692a84b9bbc,Emergency Service,Health and Medicine > Emergency Service,nf_fsq,nf_fsq
63be6904847c3692a84b9bbd,Ambulance Service,Health and Medicine > Emergency Service > Ambulance Service,emergency,ambulance_station
4bf58dd8d48988d194941735,Emergency Room,Health and Medicine > Emergency Service > Emergency Room,healthcare,emergency_room
63be6904847c3692a84b9bbe,Healthcare Clinic,Health and Medicine > Healthcare Clinic,amenity,clinic
63be6904847c3692a84b9bbf,Home Health Care Service,Health and Medicine > Home Health Care Service,healthcare,nurse
5f2c5b8b5b4c177b9a6ddf0b,Hospice,Health and Medicine > Hospice,healthcare,hospice
4bf58dd8d48988d196941735,Hospital,Health and Medicine > Hospital,amenity,hospital
63be6904847c3692a84b9bc0,Children's Hospital,Health and Medicine > Hospital > Children's Hospital,amenity,hospital
58daa1558bbb0b01f18ec1f7,Hospital Unit,Health and Medicine > Hospital > Hospital Unit,amenity,hospital
56aa371be4b08b9a8d5734ff,Maternity Clinic,Health and Medicine > Maternity Clinic,amenity,clinic
4bf58dd8d48988d104941735,Medical Center,Health and Medicine > Medical Center,amenity,clinic
4f4531b14b9074f6e4fb0103,Medical Lab,Health and Medicine > Medical Lab,healthcare,laboratory
63be6904847c3692a84b9bc1,Mental Health Service,Health and Medicine > Mental Health Service,healthcare,counselling
52e81612bcbc57f1066b7a39,Mental Health Clinic,Health and Medicine > Mental Health Service > Mental Health Clinic,healthcare,counselling
63be6904847c3692a84b9bc2,Psychologist,Health and Medicine > Mental Health Service > Psychologist,healthcare,psychotherapist
63be6904847c3692a84b9bc3,Nurse,Health and Medicine > Nurse,healthcare,nurse
63be6904847c3692a84b9bc4,Nursing Home,Health and Medicine > Nursing Home,amenity,nursing_home
58daa1558bbb0b01f18ec1d0,Nutritionist,Health and Medicine > Nutritionist,healthcare,counselling
522e32fae4b09b556e370f19,Optometrist,Health and Medicine > Optometrist,healthcare,optometrist
63be6904847c3692a84b9bc5,Other Healthcare Professional,Health and Medicine > Other Healthcare Professional,nf_fsq,nf_fsq
5744ccdfe4b0c0459246b4af,Physical Therapy Clinic,Health and Medicine > Physical Therapy Clinic,amenity,clinic
63be6904847c3692a84b9bc6,Physician,Health and Medicine > Physician,amenity,doctors
63be6904847c3692a84b9bc7,Anesthesiologist,Health and Medicine > Physician > Anesthesiologist,amenity,doctors
63be6904847c3692a84b9bc8,Cardiologist,Health and Medicine > Physician > Cardiologist,amenity,doctors
63be6904847c3692a84b9bc9,Dermatologist,Health and Medicine > Physician > Dermatologist,amenity,doctors
4bf58dd8d48988d177941735,Doctor's Office,Health and Medicine > Physician > Doctor's Office,amenity,doctors
